"•ÈÀ""address""",categories,description,email,hand_sort__001,hand_sort__002,hand_sort__003,hand_sort__004,hand_sort__005,hand_sort__006,hand_sort__007,hand_sort__008,hand_sort__009,hand_sort__010,hand_sort__011,hand_sort__012,hand_sort__013,hand_sort__014,hand_sort__015,hand_sort__016,hand_sort__017,hand_sort__018,hand_sort__019,languges,name,pops_served,services,website,wheelchair
"850 Bryant St, Room 320 San Francisco CA 94103",Legal: D.A./Police Legal: Services,This entry needs a description,This entry needs an email address,300,Fees: Hours: Ages:,FREE,9-4 M-F,,"Provides financial reimbursement for victims of violent crime (for lost wages, counseling, etc.); survivor must have filed police report.",Wheelchair Accessible: Yes,Various,,,,,,,,,,,,This entry needs a languges list,San Francisco DA's Office Victim Services Program,Victims of violent crimes.,This entry needs a services list,This entry needs a website,This entry needs Wheelchair accessibliy info
1060 Howard St San Francisco CA 94103,This entry needs a categories list,"Caseworkers conduct outreach to those living on the streets and offer benefits such as medical and mental health services, substance abuse treatment, transitional housing",rajesh.parekh@sfdph.org,301,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-203-6643,415-203-9963,N/A FREE,Sa/Su 4a-8p M-F 6a-9 All,,Crisis and Business Line are both dispatch lines,"English, Spanish",Transportation Alcohol/Substance Abu,,,,,,,,This entry needs a languges list,San Francisco Homeless Outreach Team (SF HOT),ONLY people who are homeless,3-1-1 can used to dispatch,,This entry needs Wheelchair accessibliy info
"25 Van Ness, #800 San Francisco CA 94102",Social Justice Employment,"Provides leadership and advocacy to secure, protect and promote human rights for all people. LGBT & HIV Division Human Rights Commission mediates and investigates",hrc.info@sfgov.org,302,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-252-2500,415-431-5764,800-735-2922,FREE,8-5 M-F,All,,"Spanish, Tagalog, Cantonese",,,,,,,,"Spanish, Tagalog, Cantonese",San Francisco Human Rights Commission,LGBT communities,Wheelchair Accessible: Yes,www.ci.sf.ca.us/sfhumanrights/,This entry needs Wheelchair accessibliy info
3401 17th St. San Francisco CA 94110,Child Sexual Abuse Legal: D.A./Police Hotlines,"To report suspected cases of child abuse, neglect and sexual abuse. Also investigates incest cases and crimes commited by a person of trust.",This entry needs an email address,303,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-558-2650,415-558-5500,FREE 24/7,All,,"Spanish, Varies",,,,,,,,,,This entry needs a languges list,San Francisco Police Child Abuse Hotline,All,Wheelchair Accessible: Yes,This entry needs a website,This entry needs Wheelchair accessibliy info
1001 Potrero Ave San Francisco CA 94110,This entry needs a categories list,"Social workers and nurses provide medical care, counseling, evidence collection. Survivors do not have to file a police report to be seen.",,304,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-206-8125,415-206-3000,415-206-5733,FREE,8-5 M-F,All,,Wheelchair Accessible: Yes,Interpreter for all languages,g,Counseling: Licensed Support Groups Hotlines,,,,,Interpreter for all languages,San Francisco Trauma Recovery Center,All who have been victims/survivors of SA/attempted SA in San Francisco area.,"24 hour crisis line, Groups for survivors, trainings for police and community based orgs. On-site counseling.",http://traumarecoverycenter.or Categories:,This entry needs Wheelchair accessibliy info
1 Dr. Carlton B. Goodlett Place San Francisco CA 94102,This entry needs a categories list,Members between the ages of 12 to 23. The commission serves in an advisory role to the Board of Supervisors and to the office of the Mayor. They make sure youth‰Ûª s voices are,youthcom@sfgov.org,305,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-554-6446,415-554-6140,FREE,9-6 M-F,All,,Spanish,on,Youth Social Justice,,,,,,,Spanish,San Francisco Youth Commission,All young people in San Francisco,Wheelchair Accessible: Yes,www.sfgov.org/youth_commissi Categories:,This entry needs Wheelchair accessibliy info
433 E. Canon Perdido St. Santa Barbara CA 93101,CA Rape Crisis Center,"The SBRCC is a non-profit, social change, community based organization working to a feminist vision of a world free from oppression and violence.",,306,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,805-564-3696,805-963-6832,805-965-3271,805-569-2255,Yes Varies 9-5 M-F,12+,,Spanish,,,,,,,,Spanish,Santa Barbara Rape Crisis Center,Latinos and population at large,Wheelchair Accessible: Yes,http://sbrapecrisiscenter.org/,This entry needs Wheelchair accessibliy info
391255 Liberty St #C310 Fremont CA 94538,Domestic Violence Hotlines Housing/Shelter,30-bed shelter for battered women and their children. May stay up to 60 days. No documentation required. Must be clean and sober at shelter.,save@coordinet.com,307,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-794-6055,510-574-2250,510-574-2252,FREE,9-5 M-F,18+/Emancipated,,Wheelchair Accessible: Yes,"Spanish, Punjab, Hindi Populations served:","Battered women and their children, law","enforcement, work closely with Indo-American",,,,,"Spanish, Punjab, Hindi Populations served:",SAVE: Shelter Against Violent Environments,This entry needs a populations served list,"Provide case management, individual & group counseling, employment services, legal advice, help with TRO‰Ûªs - weekly clinic, 24 hour domestic violence crisis line (collect calls accepted).",www.save-dv.org,This entry needs Wheelchair accessibliy info
"1700 California St., Suite 340 San Francisco CA",Legal: Attorney,California civil rights law fim.,info@schneiderwallace.com,308,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-440-3440,415-440-3640,415-440-3739,Varies 9-5 M-F,All,,Wheelchair Accessible: Yes,Various,,,,,,,,Various,SCHNEIDER & WALLACE,This entry needs a populations served list,"Civil rights, sexul harassment, employment discrimination, disability rights, class action litigation.",,This entry needs Wheelchair accessibliy info
407 Sansome St. San Francisco CA 94111,Elders (55+) Housing/Shelter Employment,"Organization that provides services to people over 60 living in SF, San Mateo & Santa Clara counties. No documentation required.",info@selfhelpelderly.org,309,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-677-7600,415-296-0313,Yes,Sliding scale 8:30-5 M-F,60+,,Wheelchair Accessible: Yes,"Spanish, Cantonese, Mandarin, Tagalog",,,,,,,,"Spanish, Cantonese, Mandarin, Tagalog",Self Help for the Elderly,"Senior citizens living in SF, San Mateo, and Santa Clara Counties","Provide meals, activities, employment training, Alzheimer‰Ûªs day care, case management, low- income housing.",www.selfhelpelderly.org,This entry needs Wheelchair accessibliy info
50 Phelan Avenue San Francisco CA 94112,Self Defense,Self defense for women (PE class at City College) taught by Judith Fein.,This entry needs an email address,310,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-239-3000,Varies,,Wheelchair Accessible: Languages,,,,,,,,,,,,This entry needs a languges list,Self-Defense Classes at City College,Anyone enrolled in CCSF,Self defense class,E-mail,This entry needs Wheelchair accessibliy info
25 Van Ness Ste. # 650 San Francisco CA 94102,Hotlines Elders (55+) Legal: Services,(Runs 24/7 Elder Abuse Referral line.) Provides information and referrals for seniors and agencies which serve them. No documentation required.,,311,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-626-1033,415-626-1033,415-864-3991,FREE,8-5 M-F,60+,,Wheelchair Accessible: Yes,"Spanish, Cantonese, Mandarin, Russian, Tagalog",,,,,,,"Spanish, Cantonese, Mandarin, Russian, Tagalog",Senior Information & Referral,This entry needs a populations served list,"Takes reports of elder abuse, assists with health care, housing, legal advice.",www.sfgetcare.com,This entry needs Wheelchair accessibliy info
P.O. Box 881254 San Francisco CA 94188,Counseling: Peer Hotlines,"A telephone switchboard providing free, accurate , anonymous, non judgmental information.",This entry needs an email address,312,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-989-7374,415-989-7370,FREE,3-9 M-F,All,,Spanish,,,,,,,,,This entry needs a languges list,Sex Information Hot line,All,Provide information & referrals for questions about sex. Will do peer counseling over the phone on a one-time basis--not counseling. Community education.,E-mail,This entry needs Wheelchair accessibliy info
P.O. Box 944255 Sacramento CA 94244,Hotlines,Line which provides the public with information about California‰Ûªs registered sex offenders.,meganslaw@doj.ca.gov,313,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,900-463-0400,8-5 M-F,18+,,Callers must identify themselves.,Wheelchair Accessible: No,All,,,,,,,,,This entry needs a languges list,Sex Offender Identification Line,This entry needs a populations served list,"Individuals or organizations concerned for a child‰Ûªs safety can call for a registrant‰Ûªs physical description, zip code, and referrals.",www.meganslaw.ca.gov,This entry needs Wheelchair accessibliy info
2930 Shattuck Ave Suite 200-22 Berkeley CA 94705,Sex Workers,"Assistance facilitating a complaint to the police, legal referrals, advice or general support",info@swop-usa.org,314,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-355-2040,877-776-2004,,,,,,,,,,,,,,This entry needs a languages list,Sex Workers Outreach Project USA (SWOP),"Sex workers, all kinds",This entry needs a services list,,This entry needs Wheelchair accessibliy info
301 Battery St. 3rd Floor San Francisco CA 94111,Legal: Services,Referral service for SF Bar Association. Match clients with a lawyer for a 1/2 hour consultation. Makes referrals to other government or social service agencies as appropriate.,iris@sfbar.org,315,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-989-1616,415-477-2388,415-267-0785,$25 one-time 8:30-5:30 M-F,All,,Wheelchair Accessible: Yes,"Chinese, Spanish, Vietnamese, Italian, French",,,,,,,,"Chinese, Spanish, Vietnamese, Italian, French",SF Bar Assoc. Volunteer Legal Services Program (VLSP),"Low income, non-English speaking.","Sexual harrassment. Civil law, domestic violence, TRO, divorce.",www.sfbar.org,This entry needs Wheelchair accessibliy info
San Francisco,Child Sexual Abuse Hotlines,"To report suspected cases and of child abuse, neglect and sexual abuse. No documentation needed.",This entry needs an email address,316,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-558-2650,,Wheelchair Accessible: Languages,,,,,,,,,,,,,This entry needs a languges list,SF Child Abuse Reporting,All,consultations about suspected child abuse and guidance to file a report to child protected services,E-mail,This entry needs Wheelchair accessibliy info
2143 Lombard St. San Francisco CA 94123,Health Clinics,Referral service that matches clients with dentists in San Francisco.,exec@sfds.org,317,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-928-7337,415-928-5297,FREE,9-5 M-F,,Wheelchair Accessible: Languages,Yes,,,,,,,,,This entry needs a languges list,SF Dental Society Referral Service,All,Dental Referral services,www.sfds.org,This entry needs Wheelchair accessibliy info
"850 Bryant St, Room 322 San Francisco CA 94103",This entry needs a categories list,This entry needs a description,districtattorney@sfgov.org,318,Fees: Hours: Ages:,Free,8-5 M-F,,"Crisis Intervention, emergency assistance, follow up services",Wheelchair Accessible: Languages,Yes,Legal: D.A./Police,,,,,,,,,,,This entry needs a languges list,SF District Attorney‰Ûªs Office,victims/survivors,This entry needs a services list,,This entry needs Wheelchair accessibliy info
P.O. Box 919350 San Francisco CA 94119,Alcohol/Substance Ab Hotlines,Provides information on effects of drugs as well as referrals to drug rehabilitation clinics.,,319,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-362-3400,415-834-1144,FREE 24/7,All,,Wheelchair Accessible: Yes,"Spanish, Varies",,,,,,,,,"Spanish, Varies",SF Drug Line (Part of Suicide Prevention),People in crisis,"3400# is for Drug Info, 1144# is Relapse Line. Volunteer crisis line and emotional support.",www.sfsuicide.org,This entry needs Wheelchair accessibliy info
1001 Potrero Ave @ 23rd St. San Francisco CA 94110,Health Clinics,Family Planning Clinic. Supportive options for women who wish to participate fully in childbirth experience. No documentation required.,This entry needs an email address,320,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-206-3409,415-206-8000,Sliding scale Varies,All,,Wheelchair Accessible: Yes,"Spanish, Varies",,,,,,,,,This entry needs a languges list,SF General Hospital / Womens Clinic,women,"Clinic provides abortions, counseling, birth control, pregnancy testing, morning after pill, HIV testing. Also has family planning teen clinic.",This entry needs a website,This entry needs Wheelchair accessibliy info
P.O. Box 919350 San Francisco CA 94119,Counseling: Licensed Counseling: Peer Hotlines,Provides listings of different counseling services within SF,This entry needs an email address,321,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-255-3737,FREE 24/7,,Varies,,,,,,,,,,,,Varies,SF Mental Health Access Line,This entry needs a populations served list,This entry needs a services list,This entry needs a website,This entry needs Wheelchair accessibliy info
3543 18th St. Box 28 San Francisco CA 94110,Support Groups Counseling: Peer LGBTQII,Not a crisis line. No documentation required.,This entry needs an email address,322,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-281-0276,FREE 24/7,All,,Wheelchair Accessible: No,women battering.,,,,,,,,,,women battering.,SF Network for Battered Lesbians and Bisexual Women,This entry needs a populations served list,"Provides info & referrals, some phone counseling. Free support groups for women battered by women. Survivor-oriented collective dedicated to eliminating women to",This entry needs a website,This entry needs Wheelchair accessibliy info
1001 Potrero Ave San Francisco CA 94110,24hr Services,"Team of psychiatrists, psychologists, nurses, clinical social workers, psychiatric technicians, and psychiatry residents provide crisis stabilization, crisis intervention psychiatric",This entry needs an email address,323,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-206-8125,415-206-8623,24hrs,,Yes,appropriate.,Various,,,,,,,,,Various,SFGH Psychiatric Emergency Services (PES),This entry needs a populations served list,"The service operates 24 hours a day, seven days a week and provides crisis stabilization, complete medical and psychiatric assessment and evaluation services and initial treatment, if",This entry needs a website,Yes
Crisis line: Business line: Fax:,Legal: D.A./Police,Services:,This entry needs an email address,TDD:,Insurance: Fees: Hours: Ages:,Wheelchair Accessible: Languages,,,,,,,,,,,,,,,,,This entry needs a languges list,SFPD Annonymous Reporting Lines 324,This entry needs a populations served list,This entry needs a services list,This entry needs a website,This entry needs Wheelchair accessibliy info
PO Box 10102 Oakland CA 94610,This entry needs a categories list,Bay Area Jewish women working to end violence.,info@shalom-bayit.org,325,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,866-SHALOM-7,510-451-8874,510-451-8875,FREE,Varies All,,Varies,Domestic Violence Social Justice Hotlines,,,,,,,,This entry needs a languges list,Shalom Bayit,Women of all Jewish backgrounds & affiliations,"Provides advocacy, information and referrals, and services counseling to Jewish women who have been in an abusive relationship. (Crisis intervention, ongoing support, group and",This entry needs a website,This entry needs Wheelchair accessibliy info
730 Polk ST San Francisco CA 94109,HIV/AIDS,Agency which provides emotional and practical support for people with AIDS.,,326,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-674-4700,415-674-0373,Yes FREE,All,,Yes,Speakers bureau.,Spanish,,,,,,,,Spanish,Shanti Project,"minority populations, gay/lesbian, IVDU, indigent, PWAS","Will help with errands, transportation, companionship. Specialized program for monolingual Latinos, case management services, social/cultural activities program.",www.shanti.org,Yes
4154 24th St. San Francisco CA 94114,Ritual Abuse Adult Survivors of CSA/I Counseling: Licensed,"Private practice therapy specializing in sexual assault, incest, and dissociative disorders",NORSHAR@IX.Netcom.com,327,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-621-1243,415-431-8628,Yes,$25-35,Varies All,,Wheelchair Accessible: No,,,,,,,,,This entry needs a languges list,"Sharon Kman, M.S., CRC, M.Ft.",Many,one on one counseling,This entry needs a website,This entry needs Wheelchair accessibliy info
"1450 Chapin Avenue, 2nd Floor Burlingame CA 94010",Housing/Shelter,Organization providing a comprehensive network of housing and social services for the homeless residents of SF peninsula,,328,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-7-SHELTER,650-685-5880,650-685-5881,FREE,9-5 M-F,Varies,,"Spanish, Varies",,,,,,,,This entry needs a languges list,Shelter Network,Homeless families and individuals,Provides housing and support services for homeless families and individuals to re-establish self-sufficiency and to return to permanent homes of their own,www.shelternetwork.org,This entry needs Wheelchair accessibliy info
"3626 Sacramento St., Suite 1 San Francisco CA 94118",Counseling: Licensed,"Individual, couples, family psychotherapy",This entry needs an email address,329,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-974-9293,Yes,$90-150,MWF 17+,,Wheelchair Accessible: Languages,,,,,,,,,,This entry needs a languges list,"Sherry Lebeck, Ph.D.","Trauma (incest, rape, prisoners of war) victims, domestic violence",one on one and family counseling,E-mail,This entry needs Wheelchair accessibliy info
"200 East Joppa Rd., Ste 207 Towson MD 21286",Ritual Abuse,National non-profit press which specializes in tapes and educational materials about dissociative disorders.,info@sidran.org,330,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,888-825-8249,410-337-0747,6am-2pm M-F,,Wheelchair Accessible: Languages,,,,,,,,,,,This entry needs a languges list,Sidran Institute,"family, children, social service professionals","educational programming, workshops, training demonstration clinic",www.sidran.org,This entry needs Wheelchair accessibliy info
1733 Noe St. San Francisco CA 94131,Body Work Somatic Healing Counseling: Peer,Healing & empowerment & creativity through breath work and the Expressive arts.,spiritworks@earthlink.net,331,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-826-4837,415-826-6373,No,Sliding scale 9-5 M-F,All,,Wheelchair Accessible: Languages,,,,,,,,,This entry needs a languges list,Spirit Works,Women who have been physically or sexually or emotionally abused as adults or children.,"Workshop and individual sessions for women who have embarked upon the sometimes exciting, sometimes terrifying journey of reclaiming our bodies.",,This entry needs Wheelchair accessibliy info
121 Golden Gate Ave. San Francisco CA 94102,Housing/Shelter Emergency Needs,Shelter. No documentation required.,info@stanthonysf.org,332,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-241-2600,415-252-1635,Varies,Varies Varies,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,Spanish,St. Anthony Foundation,"Homeless and very low income single women 18+, no children","Free dinner, breakfast, showers. Free medical clinics; a social work center; a free clothing and furniture program; a residence for low-income senior women.",www.stanthonysf.org,This entry needs Wheelchair accessibliy info
1372 Mission St. San Francisco CA 94103,Health Clinics Sex Workers LGBTQII,"Provides confidential, non-judgemental medical and social services for female, transgendered, and male sex workers. Sex work positive.",admin@stjamesinfirmary.org,333,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415.487-5500,415-554-8494,415-554-9636,FREE,"6-9 W, 3-6 Su",,"Spanish, Korean, Thai, Populations served:","Vietnamese, Cantonese Mandarin",Sex workers of all persuasions and kinds,,,,,,,"Spanish, Korean, Thai, Populations served:",St. James Infirmary,This entry needs a populations served list,"Monthly support group for current, former and transitioning female sex workers. Monthly support group for male sex workers and body workers. Primary medical care, urological and",www.stjamesinfrimary.org,This entry needs Wheelchair accessibliy info
"1410 Danzig Plaza, 2nd floor Concord CA 94520",Hotlines Domestic Violence Housing/Shelter,Must be clean & sober or currently in substance abuse program,,334,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,888-215-5555,925-676-2845,925-676-0532,Sliding scale 24/7,18+/Emancipated,,Wheelchair Accessible: No,"program, children‰Ûªs program, teen program.",Many,,,,,,,Many,STAND! Against Domestic Violence,"battered lesbians, African American, Latina, Korean, Teens, accepts pregnany women","24 hr crisis line, transitional houseing (6m to 1yr), 6 wk shelter, safe home program. Individual, group counseling (lesbians, Latina, African American women,). Legal clinic, men‰Ûªs",www.standagainstdv.org,This entry needs Wheelchair accessibliy info
"301 Howard St, 7th Fl San Francisco CA",Employment Survivors with Disabilities,Provides vocational rehabilitation services to individuals with significant disabilities,,335,,,Insurance: Fees: Hours: Ages:,yes Varies,M-F 8a-5p,Anyone who can work,"Spanish, Cantonese, Mandarin, Russian",,,,,,,,,,,,"Spanish, Cantonese, Mandarin, Russian",State Department of Rehabilitation,This entry needs a populations served list,Wheelchair Accessible: Yes,www.dor.ca.gov,This entry needs Wheelchair accessibliy info
P.O. Box 191350 San Francisco CA 94119,Hotlines Suicide,24hr tollfree suicide prevention line available to anyone with a suicidal crisis.,,336,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-781-0500,415-984-1900,415-984-1921,FREE,24hrs All,,Spanish,,,,,,,,,Spanish,Suicide Prevention Hotline,All,"24-hour telephone crisis counseling, suicide prevention line, alcohol & drug help line. Low fee counselining group for survivors of suicide, groups for anger management/domestic",suicidepreventionlifeline.org,This entry needs Wheelchair accessibliy info
National,Hotlines Suicide,For suicide prevention and crisis intervention,,337,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-SUICIDE,415-752-3778,800-799-4TTY,FREE 24/7,All,,Wheelchair Accessible: Languages,,,,,,,,,This entry needs a languges list,SuicideHotlines.com,All,Crisis lines which serve individual counties in various states. SF county includes Center for Elderly.,www.suicidehotlines.com,This entry needs Wheelchair accessibliy info
1259 Tasman Dr. Suite C CA 94089,Domestic Violence Legal: Services Hotlines,Empower women and their children and their families to live their lives free of violence.,snbw@snbw.org,338,,,Insurance: Fees: Hours: Ages:,Yes FREE,9-5 M-F,Wheelchair Accessible: Yes,Spanish,,,,,,,,,,,,Spanish,Support Network for Battered Women,"Battered women, children, famiies.","Crisis intervention, children‰Ûªs program, legal assistance with R.O., criminal court accompaniment, community outreach, support groups. 24-hour crisis line",www.snbw.org,This entry needs Wheelchair accessibliy info
2302 Mission St. Suite C-1 Santa Cruz CA 95060,Counseling: Licensed,High quality support services to survivors of child sexual abuse.,info@survivorshealingcenter.org,339,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,831-685-3737,831-423-7601,831-469-8315,Yes,Sliding scale 9-5 M-F,18+,,Wheelchair Accessible: Yes,Spanish,,,,,,,Spanish,Survivors Healing Center,This entry needs a populations served list,"Therapy groups, retreats, outings, events, crisis support, some individual therapy and references, and group therapy.",,This entry needs Wheelchair accessibliy info
"703 Market St, Ste 301 San Francisco CA 94103",Legal: Services Counseling: Licensed Immigrant,dedicated to providing essential psychological and medical services to survivors of torture who have fled from around the world to the San Francisco Bay Area.,info@survivorsintl.org,340,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-546-2080,415-546-2084,No,$0-25,M-F 9-5p,adults,,Wheelchair Accessible: Yes,Many,,,,,,,Many,Survivors International,"survivors of torture, gender-based persecution and LGBTQ persecution","Ongoing individual, family and group therapy. Psychological and medical evaluations for asylum claims. Case management and referrals.",www.survivorsintl.org,This entry needs Wheelchair accessibliy info
P.O. Box 425 Hayward CA 94521,Ritual Abuse Hotlines Support Groups,A volunteer self-help organization of survivors of clergy sexual abuse and their supporters,,341,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,877-762-7432,650-871-0843,Donation N/A,18+,,Wheelchair Accessible: Languages,,,,,,,,,,This entry needs a languges list,Survivors Network/People Abused by Priests,Sexual abuse survivors,Group meetings,www.snapnetwork.org,This entry needs Wheelchair accessibliy info
3181 Mission St. #139 San Francisco CA 94110,Ritual Abuse,"Referrals, information on safety, programming, indoctrination, and recovery for survivors of ritual abuse, torture & mind control.",,342,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,707-279-4103,N/A Free-$35,,Materials in braile,,,,,,,,,,,,Materials in braile,Survivorship,Persons with Dissociative Disabilities.,"In-service training, presentations and public speaking, mentorship program for survivor advocates, quarterly newsletter provides resource listings, pen pal service, information on",www.survivorship.org,This entry needs Wheelchair accessibliy info
533A Castro St. San Francisco CA 94114,LGBTQII Adult Survivors of CSA/I Counseling: Licensed,Private therapy practice. Traumatology.,susan@swachob.com,343,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-626-5415,Yes,Sliding scale,18+,,Wheelchair Accessible: No,others,,,,,,,,,This entry needs a languges list,Susan Wachob,Adult & child sexual assault,"Focus is on gay male incest and rape survivors, and women rape and incest survivors, hate crimes, domestic violence (including same sex partners), DID, random street violence and",This entry needs a website,This entry needs Wheelchair accessibliy info
Larkspur CA 94939,Somatic Healing,"Somatic-based life coaching and spiritual counseling. Body-centered creative practices to help relieve stress, trauma, and anxiety.",tigerfire@earthlink.net,344,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-927-3093,$125-165/hour,,"Increase self-esteem, balance emotions and",Wheelchair Accessible: Languages,,,,,,,,,,,This entry needs a languges list,Susanne Bersbach,This entry needs a populations served list,"Muscular therapy, expressive arts, dance therapy, sexuality healing for women, death and dying, yoga. Also offers personalized ceremonies and small group workshops.",,This entry needs Wheelchair accessibliy info
"1250 South Los Angeles St, Ste 2 Los Angeles CA 90015",Social Justice,"A coalition of labor, community, civil rights, immigrant rights, women‰Ûªs, religious & student organizations, and individuals committed to eliminating seatshop conditions in the global",seatinfo@sweatshopwatch.org,345,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,213-748-5945,213-748-5955,9-5 M-F,All,,Wheelchair Accessible: Yes,"Spanish, Cantonese",,,,,,,,,"Spanish, Cantonese",Sweatshop Watch,garment workers,"Public policy advocacy, education and resources to let workers and students know about their rights",www.sweatshopwatch.org,This entry needs Wheelchair accessibliy info
1757 Waller St. San Francisco CA 94117,Significant Others Hotlines 24hr Services,Comprehensive family support center.,talkline@sfcapc.org,346,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-441-KIDS,415-387-3684,415-386-0959,Yes Varies 9-5 M-F,All,,Yes,"services, 24 hour hotline",Spanish,,,,,,,Spanish,TALK Line Family Support Center,"Parents, care givers and children","Support groups (including Spanish), respite care, drop-in center for parents & kids, counseling, parent education, home visits, substance abuse outreach and recovery",www.talklineforparents.org,Yes
"2730 Bryant St., 2nd Floor San Francisco CA 94110",Youth Significant Others,"Parenting and lifeskills support groups for pregnant and parenting clients and their siblings. They are a program of ""Family Service Agency of San Francisco"".",,347,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-695-8300,415-824-2416,FREE,9-5 M-F,All,,Wheelchair Accessible: Yes,Spanish,,,,,,,,Spanish,Teen Parent Lifeskills,All,"(TAPP) Teenage Pregnancy and Parenting Project a program that educates and assists teen fathers, support groups.",www.fsasf.org,This entry needs Wheelchair accessibliy info
240 Golden Gate Ave San Francisco CA 94142,HIV/AIDS Alcohol/Substance Abu Health Clinics,"Community/resource center & health promotion services, specialty services for residents living with HIV/AIDS.",info@tarcsf.org,348,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-431-7476,7am-8pm,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,,,Spanish,Tenderloin Health,"Residents of the Tenderloin, homeless or marginally housed, sex workers","Support group (including for transgender people), housing services, syringe exchange, case management, counseling, info and referrals.",http://www.tarcsf.org/,This entry needs Wheelchair accessibliy info
126 Hyde St San Francisco CA 94102,Housing/Shelter Support Groups Tenants Rights,Non-profit agency serving low-income tenants in the Tenderloin.,,349,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-771-2427,415-921-8691,FREE,9-4:30 M-F,18+,,Wheelchair Accessible: Yes,"Spanish, Cantonese, Vietnamese, French",,,,,,,,"Spanish, Cantonese, Vietnamese, French",Tenderloin Housing Clinic,"Homeless, people with substance abuse issues and /or mental illness","Employment services, support groups, community services. Has modified payment program for hotels in the area, law offices for eviction and other tenant/landlord disputes.",www.thclinic.org,This entry needs Wheelchair accessibliy info
290 Turk St. San Francisco CA 94102,Alcohol/Substance Ab Counseling: Licensed Housing/Shelter,Non-traditional mental health center. No documentation required.,info@hospitalityhouse.org,350,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-749-2143,415-749-2136,FREE,7am-7pm M-F 15+,,Wheelchair Accessible: No,men.,Spanish,,,,,,,,Spanish,Tenderloin Self Help Center (Hospitality House),Homeless and residents of Tenderloin,"Women‰Ûªs, Latino, Transgender, Alcohol/Drug, men‰Ûªs support groups. Peer counseling, referrals, employment, case management, housing. 90-day adult residential program for",www.hospitalityhouse.org,This entry needs Wheelchair accessibliy info
